index,joint_name,parent_index,parent_name,chain_depth,region,side,leg,segment,segment_code,anatomical_joint,dof_biological,literature_coverage,proposed_prior_policy,in_primary_endpoint,symmetry_partner,symmetry_partner_index,rest_x,rest_y,rest_z,blender_axis_TODO,blender_sign_TODO
0,b_t,-1,,0,thorax,,,thorax,,root,,n/a (root),free,no,,-1,0.129998,0.018773,0.068149,,
1,b_a_1,0,b_t,1,abdomen,,,abdominal segment 1,,intersegmental,,sparse,free,no,,-1,-0.146334,-0.008762,0.065914,,
2,b_a_2,1,b_a_1,2,abdomen,,,abdominal segment 2,,intersegmental,,sparse,free,no,,-1,-0.370993,-0.02203,0.086643,,
3,b_a_3,2,b_a_2,3,abdomen,,,abdominal segment 3,,intersegmental,,sparse,free,no,,-1,-0.538558,-0.017532,0.111906,,
4,b_a_4,3,b_a_3,4,abdomen,,,abdominal segment 4,,intersegmental,,sparse,free,no,,-1,-0.658376,-0.002493,0.213814,,
5,b_a_5,4,b_a_4,5,abdomen,,,abdominal segment 5,,intersegmental,,sparse,free,no,,-1,-0.72564,-0.007032,0.229586,,
6,l_1_co_r,0,b_t,1,leg,right,front (prothoracic),coxa,co,ThC,protraction/retraction (alpha),well documented,constrain,yes,l_1_co_l,26,0.44306,-0.082362,-0.04526,,
7,l_1_tr_r,6,l_1_co_r,2,leg,right,front (prothoracic),trochanter,tr,CTr,levation/depression (beta),well documented,constrain,yes,l_1_tr_l,27,0.468967,-0.125349,-0.016627,,
8,l_1_fe_r,7,l_1_tr_r,3,leg,right,front (prothoracic),femur,fe,TrF,"trochantero-femoral, fused in stick insects",n/a (fused),lock,no,l_1_fe_l,28,0.557234,-0.21515,0.198749,,
9,l_1_ti_r,8,l_1_fe_r,4,leg,right,front (prothoracic),tibia,ti,FTi,flexion/extension (gamma),best documented,constrain,yes,l_1_ti_l,29,0.639123,-0.281052,0.018104,,
10,l_1_ta_r,9,l_1_ti_r,5,leg,right,front (prothoracic),tarsus,ta,TiTa,largely passive,sparse,free,no,l_1_ta_l,30,0.673995,-0.315929,-0.080478,,
11,l_1_pt_r,10,l_1_ta_r,6,leg,right,front (prothoracic),pretarsus,pt,TaPt,"claw, passive",absent,free,no,l_1_pt_l,31,0.70958,-0.353845,-0.156517,,
12,l_2_co_r,0,b_t,1,leg,right,middle (mesothoracic),coxa,co,ThC,protraction/retraction (alpha),well documented,constrain,yes,l_2_co_l,32,0.186076,-0.126315,-0.087484,,
13,l_2_tr_r,12,l_2_co_r,2,leg,right,middle (mesothoracic),trochanter,tr,CTr,levation/depression (beta),well documented,constrain,yes,l_2_tr_l,33,0.210043,-0.169735,-0.032407,,
14,l_2_fe_r,13,l_2_tr_r,3,leg,right,middle (mesothoracic),femur,fe,TrF,"trochantero-femoral, fused in stick insects",n/a (fused),lock,no,l_2_fe_l,34,0.268891,-0.275767,0.182733,,
15,l_2_ti_r,14,l_2_fe_r,4,leg,right,middle (mesothoracic),tibia,ti,FTi,flexion/extension (gamma),best documented,constrain,yes,l_2_ti_l,35,0.264644,-0.378314,0.004088,,
16,l_2_ta_r,15,l_2_ti_r,5,leg,right,middle (mesothoracic),tarsus,ta,TiTa,largely passive,sparse,free,no,l_2_ta_l,36,0.251364,-0.424906,-0.114441,,
17,l_2_pt_r,16,l_2_ta_r,6,leg,right,middle (mesothoracic),pretarsus,pt,TaPt,"claw, passive",absent,free,no,l_2_pt_l,37,0.249308,-0.474497,-0.169006,,
18,l_3_co_r,0,b_t,1,leg,right,hind (metathoracic),coxa,co,ThC,protraction/retraction (alpha),well documented,constrain,yes,l_3_co_l,38,-0.042612,-0.144924,-0.040356,,
