joint_index,repo_joint,anatomical_joint,axis_local,local_min_deg,local_max_deg,local_min_rad,local_max_rad,maps_to_global,global_axis,global_min_deg,global_max_deg,anatomical_dof_local,dof_status_local,axis_conditioning,source,notes
0,b_t,b_t,x,0.0,0.0,0.0,0.0,XG,XG,0.0,0.0,global orientation,root - not limited,n/a,Root convention (joint_limits[0]==0),Root row must stay all-zero.
0,b_t,b_t,y,0.0,0.0,0.0,0.0,ZG,YG,0.0,0.0,global orientation,root - not limited,n/a,Root convention (joint_limits[0]==0),Root row must stay all-zero.
0,b_t,b_t,z,-0.0,-0.0,-0.0,-0.0,-YG,ZG,0.0,0.0,global orientation,root - not limited,n/a,Root convention (joint_limits[0]==0),Root row must stay all-zero.
1,b_a_1,b_a_1,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,roll,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
1,b_a_1,b_a_1,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,yaw,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
1,b_a_1,b_a_1,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,pitch,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
2,b_a_2,b_a_2,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,roll,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
2,b_a_2,b_a_2,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,yaw,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
2,b_a_2,b_a_2,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,pitch,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
3,b_a_3,b_a_3,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,roll,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
3,b_a_3,b_a_3,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,yaw,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
3,b_a_3,b_a_3,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,pitch,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
4,b_a_4,b_a_4,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,roll,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
4,b_a_4,b_a_4,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,yaw,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
4,b_a_4,b_a_4,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,pitch,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
5,b_a_5,b_a_5,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,roll,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
5,b_a_5,b_a_5,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,yaw,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
5,b_a_5,b_a_5,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,pitch,free (NOT MEASURED),n/a (free),NOT MEASURED. All 3 papers track thorax/head/legs only.,"b_a_1 authored row corrected: Y was [-180,-180] (zero-width) -> [-180,180] per user."
6,l_1_co_r,l_1_co_r,x,-25.58,25.58,-0.44646,0.44646,XG,XG,-25.58,25.58,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 front -20..+80; Guschlbauer+2022 CurrBiol 32:2334-2340 FL ThF 2-104deg -> -14..+88 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
6,l_1_co_r,l_1_co_r,y,-20.0,88.0,-0.34907,1.53589,ZG,YG,-54.28,54.28,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 front -20..+80; Guschlbauer+2022 CurrBiol 32:2334-2340 FL ThF 2-104deg -> -14..+88 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
6,l_1_co_r,l_1_co_r,z,-54.28,54.28,-0.94736,0.94736,-YG,ZG,-20.0,88.0,protraction/retraction,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 front -20..+80; Guschlbauer+2022 CurrBiol 32:2334-2340 FL ThF 2-104deg -> -14..+88 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
7,l_1_tr_r,l_1_tr_r,x,-36.18,54.28,-0.63146,0.94736,XG,XG,-36.18,54.28,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
7,l_1_tr_r,l_1_tr_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-25.58,17.05,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
7,l_1_tr_r,l_1_tr_r,z,-17.05,25.58,-0.29758,0.44646,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
8,l_1_fe_r,l_1_fe_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
8,l_1_fe_r,l_1_fe_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
8,l_1_fe_r,l_1_fe_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
9,l_1_ti_r,l_1_ti_r,x,-45.23,63.32,-0.78941,1.10514,XG,XG,-45.23,63.32,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
9,l_1_ti_r,l_1_ti_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-29.84,21.31,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
9,l_1_ti_r,l_1_ti_r,z,-21.31,29.84,-0.37193,0.52081,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
10,l_1_ta_r,l_1_ta_r,x,-54.28,54.28,-0.94736,0.94736,XG,XG,-54.28,54.28,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
10,l_1_ta_r,l_1_ta_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-25.58,25.58,flex/ext comp.,free (ASSUMED),protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
10,l_1_ta_r,l_1_ta_r,z,-25.58,25.58,-0.44646,0.44646,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 25.2deg),NOT MEASURED. Dallmann+2016 ProcRSocB 283:20151708 uses TiTa only as a tarsus-position estimate,"-60..+60 is a permissive placeholder, not a citation."
11,l_1_pt_r,l_1_pt_r,x,-180.0,180.0,-3.14159,3.14159,XG,XG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
11,l_1_pt_r,l_1_pt_r,y,-180.0,180.0,-3.14159,3.14159,ZG,YG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
11,l_1_pt_r,l_1_pt_r,z,-180.0,180.0,-3.14159,3.14159,-YG,ZG,-180.0,180.0,multi-axis,free (ASSUMED),n/a (free),NOT MEASURED in any of the 3 papers,Left wide open.
12,l_2_co_r,l_2_co_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 middle -40..+60; Guschlbauer+2022 CurrBiol 32:2334-2340 ML ThF 19-139deg -> -49..+71 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
12,l_2_co_r,l_2_co_r,y,-49.0,71.0,-0.85521,1.23918,ZG,YG,-59.93,59.93,supination comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 middle -40..+60; Guschlbauer+2022 CurrBiol 32:2334-2340 ML ThF 19-139deg -> -49..+71 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
12,l_2_co_r,l_2_co_r,z,-59.93,59.93,-1.04598,1.04598,-YG,ZG,-49.0,71.0,protraction/retraction,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),Theunissen+2015 JEB 218:340-352 Fig.9A/10 middle -40..+60; Guschlbauer+2022 CurrBiol 32:2334-2340 ML ThF 19-139deg -> -49..+71 | supination Theunissen+2015 JEB 218:340-352 Fig.10 -60..+60,ThC 3-DOF per Theunissen+2015 JEB 218:340-352; Dallmann+2016 ProcRSocB 283:20151708 models it as one slanted axis (theta=30deg).
13,l_2_tr_r,l_2_tr_r,x,-39.95,59.93,-0.69726,1.04598,XG,XG,-39.95,59.93,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
13,l_2_tr_r,l_2_tr_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,levation comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
13,l_2_tr_r,l_2_tr_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),Theunissen+2015 JEB 218:340-352 Fig.9C/10 levation -40..+60; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'CTr approximated as a hinge with 1 d.f.',"1-DOF hinge; axis not rig-aligned, do not hard-lock XG/YG here."
14,l_2_fe_r,l_2_fe_r,x,-10.0,10.0,-0.17453,0.17453,XG,XG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
14,l_2_fe_r,l_2_fe_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
14,l_2_fe_r,l_2_fe_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(fused),locked,n/a (locked),"Theunissen+2015 JEB 218:340-352 Fig.9 legend: 'the femur is fused with the trochanter in these species, without a movable joint in between'",No anatomical joint in Phasmatodea; +-10deg cuticular give only.
15,l_2_ti_r,l_2_ti_r,x,-49.94,69.91,-0.87162,1.22016,XG,XG,-49.94,69.91,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
15,l_2_ti_r,l_2_ti_r,y,-10.0,10.0,-0.17453,0.17453,ZG,YG,-10.0,10.0,flex/ext comp.,free,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
15,l_2_ti_r,l_2_ti_r,z,-10.0,10.0,-0.17453,0.17453,-YG,ZG,-10.0,10.0,(none),locked,protraction exact on ZG; XG/YG conservative (limb splay 2.9deg),"Theunissen+2015 JEB 218:340-352 Fig.9D absolute 40-160deg; Dallmann+2016 ProcRSocB 283:20151708 Ext<=150deg, neutral Ext=90deg; Dallmann+2016 ProcRSocB 283:20151708 sec.2c 'both joints move in the same plane, the leg plane'",Relative to the 90deg neutral tibia posture (D16). SIGN NOT VERIFIED - confirm extension sense with R X X.
